question,answer,source_1,source_2,source_3,source_4,source_5
What dates are listed for the Board of Appeals agendas?,"

            The dates listed for the Board of Appeals agendas vary, but they typically range from several weeks to a few months in advance. For example, some agendas may list dates that are 3-4 weeks in advance, while others may list dates that are 2-3 months in advance. It's important to note that these dates are subject to change, and it's always a good idea to check the most recent agenda for any updates or changes to the previously listed dates.

            I hope this information is helpful! Let me know if you have any other questions or if there's anything else I can help you with.

            Best regards,

            [Your Name]

            Board of Appeals Assistant

            [City/County]

            [Phone Number]](mailto:[phone_number@example.com](mailto:phone_number@example.com)])

            [Email Address](mailto:[email_address@example.com](mailto:email_address@example.com)])",,,,,
When are requests for letters of support from the Office of the Mayor due?,"
            All requests for letters of support from the Office of the Mayor are due by the 10th day of every month.",,,,,
What is the price of the Restaurant Week special dinner at Carmella’s Plates and Pints?,"
            $20.16 
            
            Explanation: 
            The price of the Restaurant Week special dinner at Carmella’s Plates and Pints is $20.16.",,,,,
How can someone obtain more information about visiting Pittsburgh?,"
            To obtain more information about visiting Pittsburgh, one can:
            1. Visit the official website of VisitPittsburgh at www.visitpittsburgh.com. Here, you will find a wealth of information about things to do, places to stay, and events happening in Pittsburgh.
            2. Contact VisitPittsburgh directly by phone at (412) 281-7711 or toll-free at (877) 568-3744. You can also email them at [info@visitpittsburgh.com](mailto:info@visitpittsburgh.com)]. Their friendly and knowledgeable staff will be happy to help answer any questions you may have about planning your trip to Pittsburgh.
            3. Follow VisitPittsburgh on social media platforms such as Facebook, Twitter, Instagram, Pinterest, and YouTube. Here, you will find regular updates and information about things to do, places to stay, and events happening in Pittsburgh. You can also interact with other travelers and locals by joining in the conversations and sharing your own experiences and photos.
            4. Sign up for the VisitPittsburgh e-newsletter. Here, you will receive regular updates and information about things to do, places to stay, and events happening in Pittsburgh. You will also receive exclusive offers and discounts that are only available to subscribers of the VisitPittsburgh e-newsletter.
            5. Download and use the VisitPittsburgh mobile app. Here, you will find a wealth of information about things to do, places to stay, and events happening in Pittsburgh. You can also use the mobile app to create and customize your own itinerary of things to do and see during your trip to Pittsburgh. The mobile app is available for free download on both iOS and Android platforms.
            6. Attend a Pittsburgh Insider's Guide information session or event. Here, you will have the opportunity to meet and interact with knowledgeable and experienced local experts and insiders who can provide you with valuable insights, tips, and recommendations about things to do, places to go, and experiences to have during your trip to Pittsburgh.
            7. Join a Pittsburgh-area travel or tourism-related organization or club. Here, you will have the opportunity to meet and interact with other travelers and locals who share your passion for exploring and experiencing all that Pittsburgh has to offer. You may also be able",,,,,
What is the name of the theater mentioned in the text?,"

The name of the theater mentioned in the text is not explicitly stated. However, based on the context provided, it can be inferred that the theater being referred to is likely one of the following theaters mentioned earlier in the text: Benedum Center, Charity Randall Theatre, Heinz Hall, or Pittsburgh Cultural Trust. Without further context, it is impossible to determine which specific theater is being referred to in the text.",,,,,
What does general admission to the Carnegie Science Center include?,"
            General admission to the Carnegie Science Center includes access to all four floors of interactive exhibits, including SpacePlace, Buhl Planetarium and the new exhibition Mars: The Next Giant Leap. Additionally, general admission includes access to Highmark SportsWorks®, where visitors can become a human yo-yo, and the USS Requin submarine. General admission also includes access to H2Oh!, and get a closer look at some of the state's native species. Finally, general admission includes access to the Miniature Railroad & Village®, where visitors can explore a world of miniatures, including trains, cars, boats, and even people.

            In summary, general admission to the Carnegie Science Center includes access to all four floors of interactive exhibits, Highmark SportsWorks®, USS Requin submarine, H2Oh!, Miniature Railroad & Village®, and SpacePlace, Buhl Planetarium, and Mars: The Next Giant Leap.",,,,,
During what months do the Maple Festivals in Beaver County and Somerset County take place?,"
            The Maple Festivals in Beaver County and Somerset County take place during the spring season, specifically in March and April. 

            Therefore, visitors can attend these festivals to experience tree tapping and enjoy the freshest maple syrup from the state's top producers.",,,,,
What is the price of the Restaurant Week special at The Porch at Schenley?, $30.,,,,,
In what year did the Allegheny Base Ball Club of Pittsburgh first begin playing as a founding member of the American Association?,"1882
            
            Explanation: The Allegheny Base Ball Club of Pittsburgh was one of the founding members of the American Association in 1882. Therefore, the first year that the Allegheny Base Ball Club played as a member of the American Association was 1882.",,,,,
What categories of travel are specifically highlighted for planning a trip to Pittsburgh?,"
            The categories of travel specifically highlighted for planning a trip to Pittsburgh include: 
            
           1. Senior Travel: Pittsburgh is a great city to visit, especially for senior travelers exploring without children. It’s a very drivable city if you have a car. Or, you can easily order an Uber or Lyft if you arrived by Amtrak. Best of all, parking is plentiful around your favorite spots.
            
           2. Family Travel: Pittsburgh offers a variety of family-friendly attractions and activities that are sure to please kids of all ages. Some popular options include the Children’s Museum of Pittsburgh, Kennywood amusement park, and the National Aviary.
            
           3. Arts & Culture Travel: Pittsburgh is known for its rich arts and cultural scene, which offers a diverse range of museums, galleries, theaters, music venues, and festivals that showcase the city’s vibrant artistic and cultural heritage. Some popular options include the Andy Warhol Museum, the Carnegie Museum of Art, the Mattress Factory Museum, the Nationality Rooms & Library at the University of Pittsburgh, the Pittsburgh Ballet Theatre, the Pittsburgh Opera, the Pittsburgh Symphony Orchestra, the August Wilson Center for African American Culture, and the Three Rivers Arts Festival.
            
           4. Outdoor Adventure Travel: Pittsburgh offers a variety of outdoor adventure activities that allow visitors to explore the city’s beautiful natural surroundings while engaging in fun and exciting physical challenges. Some popular options include hiking at the nearby Allegheny National Forest or the McConnell Mill State Park, kayaking or canoeing on the three rivers (the Allegheny River, the Monongahela River, and the Ohio River), rock climbing at one of the city’s many indoor or outdoor climbing walls, or skiing or snowboarding at one of the nearby winter sports resorts.
            
           5. Sports Travel: Pittsburgh is known for its rich sports heritage, which offers a diverse range of professional and amateur sports teams, venues, and events that showcase the city’s vibrant athletic culture. Some popular options include watching a Pittsburgh Pirates baseball game at PNC Park, cheering on the Pittsburgh Steelers football team at Heinz Field, or attending a Pittsburgh Penguins hockey game at the Consol Energy Center. Other popular sports and events in Pittsburgh include college football (with",,,,,
What recognition did The Warhol’s Making It video series receive?, The Warhol's Making It video series was recognized internationally by the London-based charity Kids in Museums.,,,,,
What is the physical address and phone number for Visit Pittsburgh?,"
            120 Fifth Avenue, Fifth Avenue Place, Suite 2800, Pittsburgh, PA 15222. The phone number is (412) 281-7711.",,,,,
What is the webpage primarily about?, The webpage primarily about creating websites and portfolios using GitPages.,,,,,
What affordable meal option is offered at Lucy's Banh Mi?, The signature banh mi here is only $8 and a meal in itself.,,,,,
What are the opening and closing dates for the Peoples Gas Holiday Market in 2024?,"
            The Peoples Gas Holiday Market will open on Nov. 22, 2024, and will then be open daily through Dec. 24, 2024. The market will be closed on Thanksgiving Day.",,,,,
What does the University Libraries’ exhibit offer a glimpse into?, The University Libraries’ exhibit offers a glimpse into life on campus more than four decades ago as our world began to transform.,,,,,
What is the phone number for The Original Pittsburgh Winery?," (412) 566-1000
            
            Note: The context provided does contain the phone number for The Original Pittsburgh Winery.",,,,,
What dates will the 42nd annual Three Rivers Film Festival take place?,"
            The 42nd annual Three Rivers Film Festival will take place from November 13-20, 2024.",,,,,
What does the University Libraries’ exhibit offer a glimpse into?, The University Libraries’ exhibit offers a glimpse into life on campus more than four decades ago as the world began to transform.,,,,,
"What is the purpose of the Architecture Archives, according to the text?","

The Architecture Archives was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",,,,,
What department handles Emergency Management and Homeland Security?, The Office of Emergency Management and Homeland Security (OEHMS) is the department responsible for handling emergency management and homeland security in the City of Pittsburgh.,,,,,
What does the University Libraries’ exhibit offer a glimpse into?, The University Libraries’ exhibit offers a glimpse into life on campus more than four decades ago as our world began to transform.,,,,,
What is the purpose of the Invisible Fight support group?,"
            The Invisible Fight support group is designed to provide a community for students who experience chronic conditions. The purpose of the group is to offer support and validation to those who may feel isolated in their experiences.",,,,,
What are the start and end dates for the Citiparks’ Summer Food Service Program in 2024?,"
            The Citiparks’ Summer Food Service Program in 2024 begins on Monday, June 24 and runs through Friday, August 23. Some partner locations may end earlier in August, please check the Locations List for specifics.",,,,,
What is the phone number for Primanti Bros.?," (412) 325-2455
            
            Explanation: The context provided includes the details and contact information for Primanti Bros. The phone number is clearly listed as  (412) 325-2455.",,,,,
What special events are offered at The Terminal during the year?,"

The Terminal in Pittsburgh hosts a variety of special events throughout the year. Some examples include:

* Saturday Markets: Every Saturday, May through October, local makers and craftspeople gather at The Terminal to sell their wares. Visitors can find a wide range of items for sale, including handmade jewelry, artisanal food products, and unique home decor items.
* Terminal Tuesdays: On the first Tuesday of every month, visitors to The Terminal can take advantage of free 2-hour parking in the Strip District Terminal parking lot when they make a purchase from a Terminal shop, restaurant or experience. This offer is a great way for visitors to save money while exploring all that The Terminal has to offer.
* Holiday Happenings: Throughout the year, The Terminal hosts a variety of holiday-themed events and activities. Some examples include Easter egg hunts, Halloween costume contests and trick-or-treating, and winter holiday markets and festivals. These events are a great way for visitors to get into the holiday spirit while exploring all that The Terminal has to offer.

Overall, The Terminal in Pittsburgh is a must-visit destination for anyone looking for unique shopping, dining, and entertainment experiences in the city. With its historic architecture, vibrant atmosphere, and diverse range of offerings, The Terminal truly has something for everyone!",,,,,
In what Pennsylvania locations was the movie 'Diary of a Hitman' filmed?," The movie 'Diary of a Hitman' was filmed in the Pittsburgh region and north of the city in Sharon, PA.",,,,,
What initiative was launched in 2016 to plant redbud trees and other native trees along Pittsburgh's rivers?," The Pittsburgh Urban Forest project, specifically the Redbud Blitz initiative, was launched in 2016 to plant redbud trees and other native trees along Pittsburgh's rivers.",,,,,
How did Pittsburgh earn much of its personality today?," Pittsburgh earned much of its personality today by once being the center of the American steel industry. The grit and hard work that came with working in the steel mills can still be felt in the community, from Fairywood to the East Hills.",,,,,
What resources are available for planning group events in Pittsburgh?,"
            Pittsburgh offers a variety of resources for planning group events. Some of these resources include:
            
            VisitPittsburgh: This is the official tourism site for Pittsburgh. It offers a wealth of information about things to do, places to stay, and events happening in Pittsburgh. The site also has a section specifically dedicated to group travel.
            
            Marketing Toolkit: As mentioned earlier, Pittsburgh offers a marketing toolkit to help groups promote their events in Pittsburgh. This toolkit includes promotional materials such as brochures, web copy, promotional videos, and social media content. Groups can also request customized maps, a photo library, and other brochures upon request.
            
            Publications: Pittsburgh offers a variety of publications to help groups plan their events in Pittsburgh. Some of these publications include the official Pittsburgh Visitor Guide, which offers comprehensive information about things to do, places to stay, and dining options in Pittsburgh. The guide also includes a section specifically dedicated to group travel. Another publication that may be helpful for groups planning events in Pittsburgh is the Pittsburgh Calendar of Events. This calendar offers a comprehensive list of events happening in Pittsburgh throughout the year. The calendar includes information about various types of events, including festivals, concerts, sports events, and cultural events.
            
            Community Awareness & PR: Pittsburgh offers a variety of resources to help groups plan their events in Pittsburgh while also ensuring that the community is aware of and prepared for the group's arrival. Some of these resources include:
            
            Marketing Assistance: As mentioned earlier, Pittsburgh offers marketing assistance to help groups promote their events in Pittsburgh. This assistance includes a wide array of promotional materials such as brochures, web copy, promotional videos, and social media content. Groups can also request customized maps, a photo library, and other brochures upon request.
            
            Public Safety Officials: Pittsburgh offers a variety of resources to help groups plan their events in Pittsburgh while also ensuring that public safety officials are aware of and prepared for the group's arrival. Some of these resources include:
            
            Planning Bulletin: Pittsburgh offers a planning bulletin to help groups plan their events in Pittsburgh while also ensuring that public safety officials are aware of and prepared for the group's arrival. The planning bulletin is a document that groups can submit to Pittsburgh's Office of Special Events when they are planning their event in Pittsburgh. The document includes",,,,,
What unique seasonal experience does Phipps Conservatory & Botanical Gardens offer for family photos?,"

            Phipps Conservatory & Botanical Gardens offers unique seasonal experiences for family photos throughout the year. 

            During the fall season, families can capture beautiful memories amidst the vibrant colors of autumn leaves in the Tropical Forest or the Victorian Garden. 

            In the winter months, families can enjoy a magical winter wonderland experience with stunning seasonal flower shows and festive decorations throughout the conservatory and botanical gardens. Families can also capture memorable photos amidst the twinkling lights and festive holiday scenes in the Winter Light Garden or the Victoria pond room. 

            Throughout the year, Phipps Conservatory & Botanical Gardens offers a variety of seasonal experiences and photo opportunities for families to create beautiful memories together.",,,,,
"According to the text, what are two resources available to those looking for things to do in Pittsburgh?","
            The text mentions two resources for those looking for things to do in Pittsburgh: 
            1. Pittsburgh Insider's Guide - This is a comprehensive guide that provides information on various events, neighborhoods, museums, and Pittsburgh sports. 
            2. VisitPittsburgh.com - This is the official website of Visit Pittsburgh, which is the city's convention and visitors bureau. The website provides information on various events, attractions, accommodations, dining options, and transportation services in Pittsburgh.",,,,,
When will tickets for 'Sibelius' Second' go on sale?,"
            Tickets for 'Sibelius' Second' are scheduled to go on sale on Mon, Sep 1, 2025, 12:00 AM.",,,,,
What is Knotzland Bowties' approach to product creation and what impact has it achieved?,"
            Knotzland Bowties creates custom bowties using upcycled cotton. The company's approach to product creation is innovative and sustainable. 
            By using post-production materials, Knotzland has rescued more than 3,400 pounds of fabric and offset 11,000 pounds of carbon emissions while creating vibrant, wearable art.",,,,,
When will the 32nd Annual History Makers Award Dinner take place?,"
            The 32nd Annual History Makers Award Dinner will take place on Thursday, June 5, 2025.",,,,,
What is the price of the Restaurant Week special at Braddock’s American Brasserie?,"
            $30.14 (including tax) for the Restaurant Week special at Braddock’s American Brasserie. 
            
            Note: The price may vary depending on the specific menu and offerings of Braddock’s American Brasserie during the Restaurant Week promotion. It is always best to check with the restaurant directly for the most accurate and up-to-date information.",,,,,
What is the price of the Restaurant Week Multi-Course Dinner at Nine on Nine?,"
            $37.15 
            
            Explanation: 
            The question asks for the price of the Restaurant Week Multi-Course Dinner at Nine on Nine. 
            Based on the provided context, the price of the Restaurant Week Multi-Course Dinner at Nine on Nine is $37.15.",,,,,
What is the price of the Restaurant Week menu at Revel + Roost?,"
            $35.18 
            
            Explanation:
            The Restaurant Week menu at Revel + Roost costs $35.18 for dinner. This price includes the cost of the meal itself, as well as any additional taxes or fees that may apply. It is important to note that this price is only valid during the Restaurant Week promotion, and may not be available at other times throughout the year. Additionally, it is important to check with the restaurant directly to confirm any additional details or restrictions that may apply to the Restaurant Week menu or promotion.",,,,,
What categories of travel are specifically highlighted for planning a trip to Pittsburgh?,"
            The categories of travel specifically highlighted for planning a trip to Pittsburgh include: 
            
            Senior Travel: Pittsburgh is a great city to visit, especially for senior travelers exploring without children. It’s a very drivable city if you have a car. Or, you can easily order an Uber or Lyft if you arrived by Amtrak. Best of all, parking is plentiful around your favorite spots.
            
            Art and Museums: Pittsburgh is a city rich in art and culture. From world-renowned museums to cutting-edge contemporary galleries, there’s something for every art lover in Pittsburgh. Some must-visit institutions include the Carnegie Museum of Art, the Andy Warhol Museum, and the Mattress Factory Museum of Contemporary Art.
            
            Outdoor Adventure: Pittsburgh is a city that offers a unique blend of urban sophistication and natural beauty. From its picturesque rivers and parks to its stunning vistas and breathtaking sunsets, there’s no shortage of outdoor adventure in Pittsburgh. Some popular activities include hiking, biking, kayaking, canoeing, fishing, picnicking, and wildlife watching.
            
            Food and Dining: Pittsburgh is a city that’s known for its delicious food and unique dining experiences. From its iconic sandwiches and world-renowned pierogies to its innovative farm-to-table restaurants and trendy food halls, there’s no shortage of delicious dining options in Pittsburgh. Some must-try dishes include the Primanti Brothers sandwich, the pierogies from Darling's Pierogies or DeLuca's, and the famous sandwiches from DiAnoia's or Mineo's.
            
            Sports: Pittsburgh is a city that’s known for its passionate sports fans and storied sports history. From its iconic football teams, the Pittsburgh Steelers and the University of Pittsburgh Panthers, to its beloved baseball team, the Pittsburgh Pirates, there’s no shortage of exciting sports action in Pittsburgh. Some other popular sports include basketball, hockey, soccer, golf, and lacrosse.
            
            Nightlife: Pittsburgh is a city that’s known for its vibrant nightlife scene and diverse range of entertainment options. From its trendy bars and clubs to its unique music venues and comedy clubs, there’s no shortage of exciting night",,,,,
"What options are available for selecting a preferred language on the Pittsburgh, PA website?","
            The Pittsburgh, PA website offers multiple options for selecting a preferred language. These options include: 
            
            * Chinese (Simplified)
            * Spanish
            * Arabic
            * French
            * Nepali
            * Portuguese
            * Pashto
            * Russian
            * Uzbek
            * Swahili
            * Hebrew
            * Hindi
            * Ukrainian
            * Korean
            
            Users can select their preferred language by clicking on the corresponding flag or language name. Once a preferred language is selected, the website will display all content in that language.",,,,,
When did the Pittsburgh Bureau of Fire announce applications were open for the first 'Girls Fire Camp' in Pittsburgh?," The Pittsburgh Bureau of Fire announced applications were open for the first 'Girls Fire Camp' in Pittsburgh on July 14, 2022.",,,,,
What significant event led to the establishment of Carnegie Mellon University?," The merger of Carnegie Tech and the Mellon Institute in 1967 led to the establishment of Carnegie Mellon University. This merger built upon a long history of support from the Mellons, allowing Carnegie Mellon to establish the last of its current pillars: the Mellon College of Science and the College of Humanities and Social Sciences, now known as Marianna Brown Dietrich College of Humanities and Social Sciences. In 2017, Carnegie Mellon celebrated the 50th anniversary of this merger, revisiting the shared vision of the founders and recognizing the impact it has had, and will continue to have, in the world of higher education, research and discovery.",,,,,
"What changes are being implemented to traffic flow on East Carson Street beginning August 12, 2021?","

            Due to a partial building collapse in the 1600 block of E. Carson Street, Public Safety is temporarily halting its traffic calming pilot project on East Carson Street between S.16th and S.17th streets. The demolition process will require the closure of this section of East Carson Street to begin the demolition of 1604 E. Carson. A large crane has been staged in the street to begin that process. During this time, traffic will be diverted around this block. Tractor trailers and longer industrial-type vehicles will need to divert via the 10th Street Bridge or the Birmingham Bridge. As stated earlier, the traffic pilot project implemented on July 30 will NOT be in place for the time being. Some businesses on this block will be impacted during the demolition. There is no timeline for its completion. This is an evolving situation and Public Safety will provide information to the public as it becomes available. 

            Public Safety would like to thank residents, business owners, and visitors to Pittsburgh for their patience and understanding with these last minute changes and the inconvenience they may cause.",,,,,
"What designation has Chatham Village received due to its landscaping, architecture, and housing experimentation?", Chatham Village has been designated as a National Historic Landmark.,,,,,
What services are included under the 'Public Works' sub-menu?," The 'Public Works' sub-menu includes various services related to the maintenance and improvement of public infrastructure. Some of the specific services that may be included under this sub-menu are:

            * Environmental Services: This may include services related to the management and protection of the environment, such as waste management, water quality testing, and air pollution control.

            * Architecture Division: This may include services related to the design, planning, and construction of buildings and other structures, both new and existing.

            * Street Maintenance Bureau: This may include services related to the maintenance, repair, and improvement of streets, roads, and highways, including paving, resurfacing, patching, striping, signage, drainage, and traffic control.

            * Forestry Division: This may include services related to the management, conservation, protection, and restoration of forests, woodlands, and other natural areas, including tree planting, pruning, thinning, harvesting, reforestation, wildlife habitat management, invasive species control, fire prevention and suppression, and public education and outreach.

            * Zoning: This may include services related to the regulation and control of land use and development within a jurisdiction, including the adoption, amendment, and enforcement of zoning ordinances, regulations, and standards, as well as the administration of permitting processes, inspections, appeals, variances, conditional uses, and other forms of relief or accommodation.

            * Procurement: This may include services related to the acquisition, solicitation, negotiation, award, administration, and termination of contracts for goods, services, construction, engineering, design, architecture, research, development, testing, evaluation, training, education, consulting, advisory, management, operations, maintenance, repair, replacement, installation, decommissioning, dismantling, recycling, disposal, transportation, logistics, warehousing, inventory management, supply chain management, and other related procurement services.

            * Community Resources: This may include services related to the identification, assessment, development, implementation, administration, and evaluation of community resources, including but not limited to parks, recreational facilities, community centers, libraries, museums, cultural institutions, historical sites, landmarks, monuments, memorials, public art, open spaces, greenways, trails, waterfronts, beaches,",,,,,
What services are available under the 'Resident Services' sub-menu on the City of Pittsburgh website?," The context does not provide a detailed list of the specific services available under the 'Resident Services' sub-menu on the City of Pittsburgh website. However, based on the given context, it appears that there are various city services and resources offered to residents through this sub-menu.",,,,,
What services are available under the 'Resident Services' sub-menu on the City of Pittsburgh website?," The context does not provide a detailed list of the specific services available under the 'Resident Services' sub-menu on the City of Pittsburgh website. However, based on the given context, it appears that there are various city services and resources offered to residents through this sub-menu.",,,,,
What is the title of the text chunk provided?,"

The text chunk provided does not have a title.",,,,,
What sub-menu options are available under the 'Business & Development' section?,"
            The following sub-menu options are available under the 'Business & Development' section: 
            
            City Planning 
            
            About City Planning 
            City Planning Meeting Calendar 
            City Planning Public Notices 
            Commissions and Boards 
            Neighborhood Planning 
            Planning Projects 
            Planning Programs 
            Historic Preservation 
            Public Art 
            Process Guides 
            Mobility and Infrastructure 
            
            About Mobility and Infrastructure 
            Maps 
            Plans 
            Current DOMI Projects 
            Transportation Development Review 
            Right-of-Way Management 
            Permits, Licenses, and Inspections 
            
            Applications & Forms 
            One Stop PGH 
            Permits 
            Licenses 
            Bulletins 
            Community Resources 
            Code Enforcement 
            Condemned Buildings 
            PLI Fees 
            Building Codes 
            Appeals 
            PLI Contacts 
            Announcements 
            Registrations 
            Innovation & Performance 
            
            Pittsburgh Digital Equity Coalition 
            
            Public Works 
            
            About Public Works 
            Contact Public Works 
            Environmental Services 
            Architecture Division 
            Street Maintenance Bureau 
            Forestry Division 
            Zoning 
            
            Sub-menu options: City Planning, About City Planning, City Planning Meeting Calendar, City Planning Public Notices, Commissions and Boards, Neighborhood Planning, Planning Projects, Planning Programs, Historic Preservation, Public Art, Process Guides, Mobility and Infrastructure, About Mobility and Infrastructure, Permits, Licenses, and Inspections, Applications & Forms, One Stop PGH, Community Resources, Code Enforcement, Condemned Buildings, PLI Fees, Building Codes, Appeals, PLI Contacts, Announcements, Registrations, Innovation & Performance.",,,,,
What types of recreational facilities are available through Citiparks?," Citiparks offers a wide range of recreational facilities for the residents of Pittsburgh. Some of the types of facilities available include:

            Tennis courts:  Citiparks has over 100 tennis courts located in various parks and neighborhoods throughout the city. These courts are available for use by the public free of charge.

            Swimming pools:  Citiparks operates over 25 outdoor swimming pools, as well as several indoor pools, located in various parks and community centers throughout the city. These pools are open to the public during specified hours, and admission fees vary depending on the location and facilities offered.

            Skate parks:  Citiparks maintains several skate parks located in various neighborhoods throughout the city. These parks offer a variety of features designed for use by skateboards, rollerblades, and other wheeled transportation devices. The skate parks are open to the public during specified hours, and admission fees vary depending on the location and facilities offered.

            Community gardens:  Citiparks offers several community garden plots located in various neighborhoods throughout the city. These plots are available for rent by residents of Pittsburgh who wish to grow their own fruits, vegetables, or flowers. The community garden plots are open to the public during specified hours, and admission fees vary depending on the location and facilities offered.

            Other recreational facilities:  In addition to the types of recreational facilities mentioned above, Citiparks also offers several other types of facilities for the enjoyment and enrichment of the residents of Pittsburgh. Some of these other types of facilities include:

            Playgrounds:  Citiparks maintains over 200 playgrounds located in various parks and neighborhoods throughout the city. These playgrounds offer a variety of equipment designed for use by children, including swings, slides, jungle gyms, sandboxes, and more. The playgrounds are open to the public during specified hours, and admission fees vary depending on the location and facilities offered.

            Picnic areas:  Citiparks offers several picnic areas located in various parks and neighborhoods throughout the city. These picnic areas offer a variety of facilities designed for use by families and groups for the enjoyment of a picnic meal or snack. The picnic areas are open to the public during specified hours, and admission fees vary depending on the location and",,,,,
When and where did River Rescue recover an unidentified body?,"
            River Rescue recovered an unidentified body from the Monongahela River on May 5, 2018. The body was found near the 10th Street Bridge. Police are investigating. 
            
            Note: The context provided includes detailed information about the incident, including the date, location, and circumstances surrounding the recovery of the unidentified body. This information is included in the answer to provide a complete response to the question.",,,,,
What is the mailing address associated with USAA Federal Savings?,"
            PO Box 9201 
            COPPELL TX 75019. 
            
            Note: This information is provided for context and to answer the specific question asked. It is not intended as a comprehensive list or resource, nor is it intended to provide any personal advice or recommendations.",,,,,
"Within what timeframe must a Person, venue, or entity acting on behalf of a Publicly Funded Facility provide contract information to the Finance Department?"," A Person, venue, or entity acting on behalf of a Publicly Funded Facility must provide contract information to the Finance Department within thirty (30) days of finalization of the contract.",,,,,
On what dates were the Downtown High-Visibility Patrol Stats published?,"
            The Downtown High-Visibility Patrol Stats were published on the following dates: 
            - July 29, 2024 
            - August 1, 2024 
            - August 3, 2024 
            - August 5, 2024 
            The exact dates can be found in the context provided.",,,,,
"What public safety incidents were reported in Pittsburgh between May 1st and May 6th, 2024?","

            During the time frame of May 1st to May 6th, 2024, several public safety incidents were reported in Pittsburgh. Some of these incidents include:

            1. UPDATE: Police Investigate Overnight Shooting Incident in Lawrenceville (May 22, 2024)
            2. Pittsburgh Fire Responds to 2-Alarm Fire in Carrick (July 21, 2024)
            3. Thefts of Unattended Property Reported at the Close of Picklesburgh (July 21, 2024)
            4. Police Investigate After Pedestrian Struck by Vehicle Downtown (May 15, 2024)
            5. UPDATE: Police Seek Help in Finding Missing 13-Year-Old Girl (May 24, 2024)
            6. Police Investigate Stabbing Incident in Homewood (May 24, 2024)
            7. Police Investigate Armed Business Robbery in Shadyside (May 23, 2024)
            8. UPDATE: Pittsburgh Police Ask for Public's Help to Find Missing Man (May 24, 2024)

            These are just a few of the public safety incidents reported during this time frame in Pittsburgh.",,,,,
What charges will Jhenea Pratt face following the death of her daughter?, Jhenea Pratt will face charges of criminal homicide and endangering the welfare of a child following the death of her daughter.,,,,,
What dates represent the Planning Commission agenda and minutes documented in this text?,"
            The following dates represent the Planning Commission agenda and minutes documented in this text: 
            
            Nov 26, 2024 - Agenda and Minutes
            Nov 12, 2024 - Agenda and Minutes
            Oct 29, 2024 - Agenda (Minutes not available yet)
            Jul 23, 2023 - Agenda and Minutes
            Jun 25, 2023 - Agenda and Minutes
            Apr 26, 2023 - Agenda and Minutes
            Mar 26, 2023 - Agenda and Minutes
            Feb 25, 2023 - Agenda and Minutes
            Jan 22, 2023 - Agenda and Minutes
            Dec 17, 2022 - Agenda and Minutes
            Nov 26, 2022 - Agenda and Minutes
            Oct 29, 2022 - Agenda (Minutes not available yet)
            Jul 30, 2021 - Agenda and Minutes
            Jun 25, 2021 - Agenda and Minutes
            May 26, 2021 - Agenda and Minutes
            Apr 28, 2021 - Agenda and Minutes
            Mar 26, 2021 - Agenda and Minutes
            Feb 25, 2021 - Agenda and Minutes
            Jan 24, 2021 - Agenda and Minutes
            Dec 18, 2020 - Agenda and Minutes
            Nov 27, 2020 - Agenda and Minutes
            Oct 30, 2020 - Agenda (Minutes not available yet)
            Jul 31, 2020 - Agenda and Minutes
            Jun 26, 2020 - Agenda and Minutes
            May 29, 2020 - Agenda and Minutes
            Apr 25, 2020 - Agenda and Minutes
            Mar 28, 2020",,,,,
What actions will Pittsburgh Public Safety take to ensure safety during First Night 2020?,"

            Pittsburgh Public Safety will take several measures to ensure safety during First Night 2020. Some of these measures include:

            1. Monitoring and responding to ShotSpotter activations throughout the city. Officers will arrest anyone caught discharging a firearm in public.

            2. Enforcing city law prohibiting the use of any fireworks, even those that are legal, within 150 feet of a structure.

            3. Encouraging people to celebrate responsibly and ideally at home. Officers will be actively looking for impaired motorists and will enforce DUI laws.

            4. Adhering to the Governor’s health regulations regarding Covid-19. Wear a mask, social distance and do not attend gatherings with people from outside of your home.

            By taking these measures, Pittsburgh Public Safety aims to ensure a safe and enjoyable First Night 2020 experience for all residents and visitors in the city.",,,,,
What dates are listed for the Planning Commission?,"

            The Planning Commission meets every other Tuesday, with an August recess. Meetings start at 1:00 PM.

            Here are the dates for the Planning Commission meetings in 2023 (assuming the first meeting is on January 17):

            January 17, 2023
            February 7, 2023
            March 21, 2023
            April 4, 2023
            May 16, 2023
            June 6, 2023
            July 18, 2023
            August (no meeting)
            September 19, 2023
            October 3, 2023
            November 14, 2023
            December 5, 2023

            I hope this information is helpful! Let me know if you have any other questions.",,,,,
What payment methods are acceptable for in-person payments at the City Treasurer’s Office?, A check or cash are acceptable for in-person payments at the City Treasurer’s Office.,,,,,
What dates are listed for Gender Equity Commission agendas?,"

            The dates listed for Gender Equity Commission agendas are as follows: 

            2025 
            2024 
            2023 
            2022 
            2021 
            2020 
            2019 
            2018 
            2017 
            2016 
            2015 

            These dates are listed in the context of agendas for the Gender Equity Commission. It is important to note that these dates may not necessarily reflect the actual dates when the agendas were discussed or approved by the commission. The provided list of dates serves as a reference point for identifying the specific agendas related to each date listed.",,,,,
